fold,run,algorithm,accuracy,precision,recall,f1_score,convergence_speed,best_loss,threshold_reached,fold_threshold
1,48,Baseline ACOR,0.6458333333333334,0.4935064935064935,0.5671641791044776,0.5277777777777778,0,1.3594503913435076,True,1.4550400800226482
1,49,Baseline ACOR,0.609375,0.43103448275862066,0.373134328358209,0.4,0,1.2857975111922388,True,1.4550400800226482
1,50,Baseline ACOR,0.5364583333333334,0.358974358974359,0.417910447761194,0.38620689655172413,101,1.7609484770859494,False,1.4550400800226482
1,1,Hybrid ACOR-LM,0.6979166666666666,0.5789473684210527,0.4925373134328358,0.532258064516129,4,0.37207337361922044,True,1.4550400800226482
1,2,Hybrid ACOR-LM,0.7135416666666666,0.59375,0.5671641791044776,0.5801526717557252,0,0.37090411662758843,True,1.4550400800226482
1,3,Hybrid ACOR-LM,0.6822916666666666,0.5555555555555556,0.44776119402985076,0.49586776859504134,0,0.35087248980332036,True,1.4550400800226482
1,4,Hybrid ACOR-LM,0.7135416666666666,0.6,0.5373134328358209,0.5669291338582677,0,0.3756515360156755,True,1.4550400800226482
1,5,Hybrid ACOR-LM,0.6822916666666666,0.5535714285714286,0.4626865671641791,0.5040650406504065,0,0.3620014189809908,True,1.4550400800226482
1,6,Hybrid ACOR-LM,0.7083333333333334,0.6037735849056604,0.47761194029850745,0.5333333333333333,0,0.37737781254234987,True,1.4550400800226482
1,7,Hybrid ACOR-LM,0.6875,0.5614035087719298,0.47761194029850745,0.5161290322580645,0,0.3618859566143346,True,1.4550400800226482
1,8,Hybrid ACOR-LM,0.765625,0.6896551724137931,0.5970149253731343,0.64,0,0.37219329478070523,True,1.4550400800226482
1,9,Hybrid ACOR-LM,0.7135416666666666,0.603448275862069,0.5223880597014925,0.56,0,0.3656946898106962,True,1.4550400800226482
1,10,Hybrid ACOR-LM,0.734375,0.625,0.5970149253731343,0.6106870229007634,0,0.3776165905015307,True,1.4550400800226482
1,11,Hybrid ACOR-LM,0.6822916666666666,0.55,0.4925373134328358,0.5196850393700787,0,0.3519125475895313,True,1.4550400800226482
1,12,Hybrid ACOR-LM,0.71875,0.6065573770491803,0.5522388059701493,0.578125,0,0.3694429552329452,True,1.4550400800226482
1,13,Hybrid ACOR-LM,0.6875,0.5573770491803278,0.5074626865671642,0.53125,4,0.34745110311354743,True,1.4550400800226482
1,14,Hybrid ACOR-LM,0.7135416666666666,0.6071428571428571,0.5074626865671642,0.5528455284552846,0,0.3595108812077388,True,1.4550400800226482
1,15,Hybrid ACOR-LM,0.671875,0.5344827586206896,0.4626865671641791,0.496,0,0.36783644431508455,True,1.4550400800226482
1,16,Hybrid ACOR-LM,0.7239583333333334,0.6060606060606061,0.5970149253731343,0.6015037593984962,0,0.3679717622240177,True,1.4550400800226482
1,17,Hybrid ACOR-LM,0.7083333333333334,0.5964912280701754,0.5074626865671642,0.5483870967741935,0,0.36059326508519596,True,1.4550400800226482
1,18,Hybrid ACOR-LM,0.7083333333333334,0.5964912280701754,0.5074626865671642,0.5483870967741935,0,0.35702858175466073,True,1.4550400800226482
1,19,Hybrid ACOR-LM,0.6875,0.5614035087719298,0.47761194029850745,0.5161290322580645,0,0.37739038580480067,True,1.4550400800226482
1,20,Hybrid ACOR-LM,0.7135416666666666,0.6111111111111112,0.4925373134328358,0.5454545454545454,0,0.3691574245388164,True,1.4550400800226482
1,21,Hybrid ACOR-LM,0.6927083333333334,0.5645161290322581,0.5223880597014925,0.5426356589147286,0,0.3625116593457692,True,1.4550400800226482
1,22,Hybrid ACOR-LM,0.6875,0.5660377358490566,0.44776119402985076,0.5,0,0.36207188191840245,True,1.4550400800226482
1,23,Hybrid ACOR-LM,0.6927083333333334,0.5769230769230769,0.44776119402985076,0.5042016806722689,0,0.3467736583721772,True,1.4550400800226482
1,24,Hybrid ACOR-LM,0.6927083333333334,0.5645161290322581,0.5223880597014925,0.5426356589147286,0,0.3655793969323634,True,1.4550400800226482
1,25,Hybrid ACOR-LM,0.6927083333333334,0.5740740740740741,0.4626865671641791,0.512396694214876,0,0.36637331901966974,True,1.4550400800226482
1,26,Hybrid ACOR-LM,0.671875,0.5384615384615384,0.417910447761194,0.47058823529411764,0,0.3616071897601309,True,1.4550400800226482
1,27,Hybrid ACOR-LM,0.703125,0.5833333333333334,0.5223880597014925,0.5511811023622047,0,0.37201664140053153,True,1.4550400800226482
1,28,Hybrid ACOR-LM,0.703125,0.5862068965517241,0.5074626865671642,0.544,0,0.3752098853479718,True,1.4550400800226482
1,29,Hybrid ACOR-LM,0.7083333333333334,0.5873015873015873,0.5522388059701493,0.5692307692307692,0,0.35139919793162405,True,1.4550400800226482
1,30,Hybrid ACOR-LM,0.6822916666666666,0.5576923076923077,0.43283582089552236,0.48739495798319327,0,0.3567842613851187,True,1.4550400800226482
1,31,Hybrid ACOR-LM,0.71875,0.6181818181818182,0.5074626865671642,0.5573770491803278,0,0.36577864496061924,True,1.4550400800226482
1,32,Hybrid ACOR-LM,0.6927083333333334,0.5740740740740741,0.4626865671641791,0.512396694214876,0,0.36402865950375396,True,1.4550400800226482
1,33,Hybrid ACOR-LM,0.7239583333333334,0.625,0.5223880597014925,0.5691056910569106,0,0.36738416989927036,True,1.4550400800226482
1,34,Hybrid ACOR-LM,0.734375,0.6538461538461539,0.5074626865671642,0.5714285714285714,0,0.37652384217732016,True,1.4550400800226482
1,35,Hybrid ACOR-LM,0.7291666666666666,0.6190476190476191,0.582089552238806,0.6,0,0.35724485749001444,True,1.4550400800226482
1,36,Hybrid ACOR-LM,0.7135416666666666,0.6,0.5373134328358209,0.5669291338582677,0,0.3805917798823548,True,1.4550400800226482
1,37,Hybrid ACOR-LM,0.6875,0.559322033898305,0.4925373134328358,0.5238095238095238,0,0.35978274865716187,True,1.4550400800226482
1,38,Hybrid ACOR-LM,0.6822916666666666,0.5535714285714286,0.4626865671641791,0.5040650406504065,0,0.36101421422620333,True,1.4550400800226482
1,39,Hybrid ACOR-LM,0.6979166666666666,0.5789473684210527,0.4925373134328358,0.532258064516129,0,0.3579236601935759,True,1.4550400800226482
1,40,Hybrid ACOR-LM,0.734375,0.6333333333333333,0.5671641791044776,0.5984251968503937,0,0.3708526828045402,True,1.4550400800226482
1,41,Hybrid ACOR-LM,0.6875,0.5660377358490566,0.44776119402985076,0.5,0,0.3509771695553693,True,1.4550400800226482
1,42,Hybrid ACOR-LM,0.7083333333333334,0.5932203389830508,0.5223880597014925,0.5555555555555556,0,0.3666550822253861,True,1.4550400800226482
1,43,Hybrid ACOR-LM,0.6979166666666666,0.5737704918032787,0.5223880597014925,0.546875,0,0.37511128269313665,True,1.4550400800226482
1,44,Hybrid ACOR-LM,0.7291666666666666,0.631578947368421,0.5373134328358209,0.5806451612903226,0,0.34069661375295746,True,1.4550400800226482
1,45,Hybrid ACOR-LM,0.703125,0.5833333333333334,0.5223880597014925,0.5511811023622047,0,0.36915493670568583,True,1.4550400800226482
1,46,Hybrid ACOR-LM,0.6875,0.5507246376811594,0.5671641791044776,0.5588235294117647,0,0.36507025143977145,True,1.4550400800226482
1,47,Hybrid ACOR-LM,0.6875,0.5573770491803278,0.5074626865671642,0.53125,0,0.38175904934311966,True,1.4550400800226482
1,48,Hybrid ACOR-LM,0.71875,0.6101694915254238,0.5373134328358209,0.5714285714285714,0,0.3682777756725167,True,1.4550400800226482
1,49,Hybrid ACOR-LM,0.703125,0.5833333333333334,0.5223880597014925,0.5511811023622047,0,0.35784721633135713,True,1.4550400800226482
1,50,Hybrid ACOR-LM,0.71875,0.6031746031746031,0.5671641791044776,0.5846153846153846,0,0.37238301409402247,True,1.4550400800226482
2,1,Baseline ACOR,0.625,0.391304347826087,0.13432835820895522,0.2,0,1.5022697770752986,True,1.5238381177281313
2,2,Baseline ACOR,0.5833333333333334,0.3898305084745763,0.34328358208955223,0.36507936507936506,101,2.049505287020671,False,1.5238381177281313
2,3,Baseline ACOR,0.4947916666666667,0.3684210526315789,0.6268656716417911,0.46408839779005523,101,1.6331652914611476,False,1.5238381177281313
2,4,Baseline ACOR,0.6354166666666666,0.4805194805194805,0.5522388059701493,0.5138888888888888,0,1.4322961642639773,True,1.5238381177281313
2,5,Baseline ACOR,0.7239583333333334,0.6206896551724138,0.5373134328358209,0.576,101,1.7069243412563577,False,1.5238381177281313
2,6,Baseline ACOR,0.5416666666666666,0.34328358208955223,0.34328358208955223,0.34328358208955223,101,1.721535793793846,False,1.5238381177281313
2,7,Baseline ACOR,0.5885416666666666,0.43478260869565216,0.5970149253731343,0.5031446540880503,101,1.579205048733604,False,1.5238381177281313
2,8,Baseline ACOR,0.7083333333333334,0.6666666666666666,0.3283582089552239,0.44,101,1.5742300015467872,False,1.5238381177281313
2,9,Baseline ACOR,0.6354166666666666,0.47058823529411764,0.3582089552238806,0.4067796610169492,101,1.6139113923989337,False,1.5238381177281313
2,10,Baseline ACOR,0.671875,0.5285714285714286,0.5522388059701493,0.5401459854014599,101,1.7922567317961375,False,1.5238381177281313
2,11,Baseline ACOR,0.7135416666666666,0.7,0.31343283582089554,0.4329896907216495,0,1.031227474155122,True,1.5238381177281313
2,12,Baseline ACOR,0.6458333333333334,0.4883720930232558,0.31343283582089554,0.38181818181818183,101,1.7520288150773302,False,1.5238381177281313
2,13,Baseline ACOR,0.7239583333333334,0.625,0.5223880597014925,0.5691056910569106,101,1.681664002404302,False,1.5238381177281313
2,14,Baseline ACOR,0.7604166666666666,0.7058823529411765,0.5373134328358209,0.6101694915254238,101,1.7939392877308928,False,1.5238381177281313
2,15,Baseline ACOR,0.6510416666666666,0.5,0.19402985074626866,0.27956989247311825,0,1.3027342865219944,True,1.5238381177281313
2,16,Baseline ACOR,0.5833333333333334,0.4462809917355372,0.8059701492537313,0.574468085106383,0,1.345126032705416,True,1.5238381177281313
2,17,Baseline ACOR,0.6197916666666666,0.43478260869565216,0.29850746268656714,0.35398230088495575,101,1.8529579516306909,False,1.5238381177281313
2,18,Baseline ACOR,0.7604166666666666,0.6981132075471698,0.5522388059701493,0.6166666666666667,101,1.6778368141910076,False,1.5238381177281313
2,19,Baseline ACOR,0.6666666666666666,0.5205479452054794,0.5671641791044776,0.5428571428571428,0,1.4107056620446852,True,1.5238381177281313
2,20,Baseline ACOR,0.578125,0.43,0.6417910447761194,0.5149700598802395,0,1.2447647896993415,True,1.5238381177281313
2,21,Baseline ACOR,0.734375,0.7222222222222222,0.3880597014925373,0.5048543689320388,101,1.6158751694709848,False,1.5238381177281313
2,22,Baseline ACOR,0.7291666666666666,0.6595744680851063,0.4626865671641791,0.543859649122807,0,1.2132627472630437,True,1.5238381177281313
